pathway,main_class,sub_class,source,confidence,created_at
Asparagine biosynthetic process,Metabolism,Amino Acid Metabolism,GO_BP,0.9,2026-01-27T17:58:57.025442
Daunorubicin metabolic process,Metabolism,Drug Metabolism,GO_BP,0.9,2026-01-27T17:59:01.362802
Regulation of ion transmembrane transporter activity,Cellular Processes,Ion Transport Regulation,GO_BP,0.9,2026-01-27T17:59:01.390107
Positive regulation of epithelial cell proliferation,Cell Cycle,Epithelial Cell Proliferation Regulation,GO_BP,0.9,2026-01-27T17:59:01.409274
Anatomical structure maturation,Developmental Biology,Anatomical Structure Maturation,GO_BP,0.9,2026-01-27T17:59:01.428964
Positive regulation of telomerase activity,Genetic Information Processing,Telomerase Activity Regulation,GO_BP,0.9,2026-01-27T17:59:01.451041
Cell development,Developmental Biology,Cell Development,GO_BP,0.9,2026-01-27T17:59:01.468362
Negative regulation of lens fiber cell differentiation,Developmental Biology,Lens Fiber Cell Differentiation Regulation,GO_BP,0.9,2026-01-27T17:59:01.483281
Thymocyte migration,Immune System,Thymocyte Migration,GO_BP,0.9,2026-01-27T17:59:01.500516
Cellular biogenic amine biosynthetic process,Metabolism,Amino Acid Metabolism,GO_BP,0.9,2026-01-27T17:59:05.255094
Regulation of type 2 immune response,Immune System,Adaptive Immunity,GO_BP,0.9,2026-01-27T17:59:05.280695
Regulation of blood coagulation,Immune System,Coagulation Pathways,GO_BP,0.9,2026-01-27T17:59:05.299627
Regulation of transferase activity,Cellular Processes,Enzyme Regulation,GO_BP,0.9,2026-01-27T17:59:05.319546
"Negative regulation of complement activation, classical pathway",Immune System,Complement Cascade,GO_BP,0.9,2026-01-27T17:59:05.340270
Peptidyl-proline modification,Cellular Processes,Post-Translational Modification,GO_BP,0.9,2026-01-27T17:59:05.364416
Cellular heat acclimation,Environmental Information Processing,Heat Shock Response,GO_BP,0.9,2026-01-27T17:59:05.382638
Membrane docking,Cellular Processes,Membrane Dynamics,GO_BP,0.9,2026-01-27T17:59:05.399979
Post-embryonic development,Developmental Biology,Post-embryonic Development,GO_BP,0.9,2026-01-27T17:59:11.113864
Protein polymerization,Cellular Processes,Protein Polymerization,GO_BP,0.9,2026-01-27T17:59:11.137882
Cellular response to virus,Immune System,Viral Infection Response,GO_BP,0.9,2026-01-27T17:59:11.158084
Phosphatidylserine exposure on apoptotic cell surface,Apoptosis,Phosphatidylserine Exposure,GO_BP,0.9,2026-01-27T17:59:11.180248
Calcium ion transmembrane import into cytosol,Cellular Processes,Calcium Signaling,GO_BP,0.9,2026-01-27T17:59:11.201681
Membrane fission,Cellular Processes,Membrane Dynamics,GO_BP,0.9,2026-01-27T17:59:11.222601
Cellular response to acidic pH,Environmental Information Processing,Acidic pH Response,GO_BP,0.9,2026-01-27T17:59:11.246007
Positive regulation of penile erection,Cellular Processes,Regulation of Blood Flow,GO_BP,0.9,2026-01-27T17:59:11.267433
Intraciliary anterograde transport,Cellular Processes,Vesicle Transport,GO_BP,0.9,2026-01-27T17:59:15.224883
Carboxylic acid biosynthetic process,Metabolism,Carboxylic Acid Metabolism,GO_BP,0.9,2026-01-27T17:59:15.252521
Detection of chemical stimulus,Environmental Information Processing,Chemical Sensing,GO_BP,0.9,2026-01-27T17:59:15.271802
Transcription by RNA polymerase I,Genetic Information Processing,Transcriptional Regulation,GO_BP,0.9,2026-01-27T17:59:15.292412
Regulation of nucleotide-binding oligomerization domain containing signaling pathway,Signal Transduction,NOD-like Receptor Signaling,GO_BP,0.9,2026-01-27T17:59:15.308973
Positive regulation of helicase activity,Genetic Information Processing,Helicase Activity Regulation,GO_BP,0.9,2026-01-27T17:59:15.329121
L-glutamate transmembrane transport,Cellular Processes,Amino Acid Transport,GO_BP,0.9,2026-01-27T17:59:15.347689
Negative regulation of cell cycle,Cell Cycle,Negative Cell Cycle Regulation,GO_BP,0.9,2026-01-27T17:59:15.365043
Cellular response to glucocorticoid stimulus,Environmental Information Processing,Glucocorticoid Signaling,GO_BP,0.9,2026-01-27T17:59:20.481143
JNK cascade,Signal Transduction,JNK Signaling,GO_BP,0.9,2026-01-27T17:59:20.501723
Nucleoside triphosphate biosynthetic process,Metabolism,Nucleotide Metabolism,GO_BP,0.9,2026-01-27T17:59:20.520197
Epithelial cilium movement involved in determination of left/right asymmetry,Developmental Biology,Left/Right Asymmetry Determination,GO_BP,0.9,2026-01-27T17:59:20.537607
Cellular response to UV-A,Environmental Information Processing,UV Response,GO_BP,0.9,2026-01-27T17:59:20.556871
Pyruvate metabolic process,Metabolism,Pyruvate Metabolism,GO_BP,0.9,2026-01-27T17:59:20.576320
Exocytosis,Cellular Processes,Exocytosis,GO_BP,0.9,2026-01-27T17:59:20.594385
Positive regulation of transcription initiation from RNA polymerase II promoter,Genetic Information Processing,Transcriptional Regulation,GO_BP,0.9,2026-01-27T17:59:20.613134
"Carnitine metabolic process, CoA-linked",Metabolism,Carnitine Metabolism,GO_BP,0.9,2026-01-27T17:59:24.725149
Protein localization to juxtaparanode region of axon,Cellular Processes,Cell Polarity Establishment,GO_BP,0.9,2026-01-27T17:59:24.764750
Regulation of granulocyte macrophage colony-stimulating factor production,Immune System,Cytokine Signaling,GO_BP,0.9,2026-01-27T17:59:24.801946
Estrogen metabolic process,Metabolism,Steroid Metabolism,GO_BP,0.9,2026-01-27T17:59:24.844067
Chromatin assembly,Genetic Information Processing,Chromatin Modification,GO_BP,0.9,2026-01-27T17:59:24.873637
Peptidyl-arginine methylation,Genetic Information Processing,RNA Editing and Processing,GO_BP,0.9,2026-01-27T17:59:24.908027
Cilium organization,Cellular Processes,Organelle Organization,GO_BP,0.9,2026-01-27T17:59:24.926689
Regulation of translational initiation,Genetic Information Processing,Translation Initiation,GO_BP,0.9,2026-01-27T17:59:24.951000
Regulation of mitophagy,Developmental Biology,Mitophagy Regulation in Stem Cells,GO_BP,0.9,2026-01-27T17:59:29.305140
Smoothened signaling pathway,Signal Transduction,Hedgehog Signaling,GO_BP,0.9,2026-01-27T17:59:29.331092
Positive regulation of neuron differentiation,Developmental Biology,Neuron Differentiation,GO_BP,0.9,2026-01-27T17:59:29.349169
Pyrimidine nucleotide import into mitochondrion,Metabolism,Nucleotide Metabolism,GO_BP,0.9,2026-01-27T17:59:29.366654
Excitatory synapse assembly,Cellular Processes,Synapse Assembly,GO_BP,0.9,2026-01-27T17:59:29.385451
Regulation of stem cell proliferation,Developmental Biology,Stem Cell Proliferation Regulation,GO_BP,0.9,2026-01-27T17:59:29.410312
Signal transduction,Signal Transduction,General Signal Transduction Mechanisms,GO_BP,0.9,2026-01-27T17:59:29.431105
Protein localization to perinuclear region of cytoplasm,Cellular Processes,Protein Localization,GO_BP,0.9,2026-01-27T17:59:29.455921
Regulation of macrophage migration,Immune System,Innate Immunity,GO_BP,0.9,2026-01-27T17:59:34.677548
Phospholipid metabolic process,Metabolism,Lipid Metabolism,GO_BP,0.9,2026-01-27T17:59:34.710104
Monoterpenoid metabolic process,Metabolism,Terpene Metabolism,GO_BP,0.9,2026-01-27T17:59:34.728545
Golgi organization,Cellular Processes,Organelle Organization,GO_BP,0.9,2026-01-27T17:59:34.749171
Organic substance catabolic process,Metabolism,Xenobiotic Metabolism,GO_BP,0.9,2026-01-27T17:59:34.769009
Cellular response to forskolin,Signal Transduction,Calcium Signaling,GO_BP,0.9,2026-01-27T17:59:34.789656
Rap protein signal transduction,Signal Transduction,MAPK Signaling,GO_BP,0.9,2026-01-27T17:59:34.807125
Regulation of aldosterone biosynthetic process,Metabolism,Steroid Biosynthesis,GO_BP,0.9,2026-01-27T17:59:34.827650
Heme export,Cellular Processes,Organelle Organization,GO_BP,0.9,2026-01-27T17:59:38.520105
Cellular component assembly,Cellular Processes,Cell Adhesion,GO_BP,0.9,2026-01-27T17:59:38.545209
Organic hydroxy compound metabolic process,Metabolism,Alcohol and Aldehyde Metabolism,GO_BP,0.9,2026-01-27T17:59:38.564879
Positive regulation of inflammatory response,Immune System,Cytokine Signaling,GO_BP,0.9,2026-01-27T17:59:38.582403
Nuclear polyadenylation-dependent rRNA catabolic process,Genetic Information Processing,RNA Editing and Processing,GO_BP,0.9,2026-01-27T17:59:38.601265
RNA modification,Genetic Information Processing,RNA Modification,GO_BP,0.9,2026-01-27T17:59:38.623715
Cellular response to gonadotropin stimulus,Signal Transduction,GPCR Signaling,GO_BP,0.9,2026-01-27T17:59:38.647158
U2-type prespliceosome assembly,Genetic Information Processing,mRNA Splicing,GO_BP,0.9,2026-01-27T17:59:38.667567
Regulation of rhodopsin mediated signaling pathway,Signal Transduction,Rhodopsin Signaling,GO_BP,0.9,2026-01-27T17:59:42.627869
Protein exit from endoplasmic reticulum,Cellular Processes,Protein Transport,GO_BP,0.9,2026-01-27T17:59:42.660569
Ceramide biosynthetic process,Metabolism,Lipid Metabolism,GO_BP,0.9,2026-01-27T17:59:42.679423
Cortisol metabolic process,Metabolism,Steroid Metabolism,GO_BP,0.9,2026-01-27T17:59:42.698587
Sodium-independent organic anion transport,Cellular Processes,Organic Anion Transport,GO_BP,0.9,2026-01-27T17:59:42.719251
Determination of digestive tract left/right asymmetry,Developmental Biology,Left/Right Asymmetry Determination,GO_BP,0.9,2026-01-27T17:59:42.735930
Negative regulation of biological process,Cellular Processes,Regulation of Biological Processes,GO_BP,0.9,2026-01-27T17:59:42.754318
Post-embryonic animal organ development,Developmental Biology,Organ Development,GO_BP,0.9,2026-01-27T17:59:42.771040
Cellular response to nitrogen starvation,Environmental Information Processing,Nitrogen Response,GO_BP,0.9,2026-01-27T17:59:47.308500
Phosphorus metabolic process,Metabolism,Phosphorus Metabolism,GO_BP,0.9,2026-01-27T17:59:47.339922
Phagosome acidification,Immune System,Phagosome Maturation,GO_BP,0.9,2026-01-27T17:59:47.360387
Aerobic respiration,Metabolism,Energy Metabolism,GO_BP,0.9,2026-01-27T17:59:47.379877
Regulation of fibroblast proliferation,Cell Cycle,Cell Proliferation Regulation,GO_BP,0.9,2026-01-27T17:59:47.398224
Negative regulation of viral transcription,Immune System,Viral Infection Response,GO_BP,0.9,2026-01-27T17:59:47.419850
One-carbon metabolic process,Metabolism,One-Carbon Metabolism,GO_BP,0.9,2026-01-27T17:59:47.441209
Peptide hormone processing,Cellular Processes,Peptide Processing,GO_BP,0.9,2026-01-27T17:59:47.462928
Protein O-linked glycosylation via serine,Metabolism,Glycan Biosynthesis and Metabolism,GO_BP,0.9,2026-01-27T17:59:51.632141
Renal water transport,Cellular Processes,Water Transport Mechanisms,GO_BP,0.9,2026-01-27T17:59:51.669256
Activin receptor signaling pathway,Signal Transduction,TGF-beta Signaling,GO_BP,0.9,2026-01-27T17:59:51.696893
Mitochondrial gene expression,Genetic Information Processing,Transcriptional Regulation,GO_BP,0.9,2026-01-27T17:59:51.726927
Regulation of small molecule metabolic process,Metabolism,Small Molecule Metabolism,GO_BP,0.9,2026-01-27T17:59:51.766325
L-arginine import across plasma membrane,Metabolism,Amino Acid Metabolism,GO_BP,0.9,2026-01-27T17:59:51.792983
Adenosine transport,Metabolism,Nucleotide Metabolism,GO_BP,0.9,2026-01-27T17:59:51.821826
Regulation of transport,Cellular Processes,Transport Regulation,GO_BP,0.9,2026-01-27T17:59:51.847727
Regulation of double-strand break repair,Genetic Information Processing,DNA Repair Mechanisms,GO_BP,0.9,2026-01-27T17:59:56.301074
Negative regulation of macromolecule biosynthetic process,Cellular Processes,Regulation of Biosynthetic Pathways,GO_BP,0.9,2026-01-27T17:59:56.330872
Ventral spinal cord interneuron differentiation,Developmental Biology,Neural Development,GO_BP,0.9,2026-01-27T17:59:56.349854
Carbohydrate catabolic process,Metabolism,Carbohydrate Metabolism,GO_BP,0.9,2026-01-27T17:59:56.370662
Response to hormone,Signal Transduction,Hormonal Signaling,GO_BP,0.9,2026-01-27T17:59:56.392856
Cellular biogenic amine metabolic process,Metabolism,Biogenic Amine Metabolism,GO_BP,0.9,2026-01-27T17:59:56.412712
Mitochondrial ATP synthesis coupled electron transport,Metabolism,Energy Metabolism,GO_BP,0.9,2026-01-27T17:59:56.428715
Positive regulation of the force of heart contraction by epinephrine-norepinephrine,Signal Transduction,Cardiac Response to Catecholamines,GO_BP,0.9,2026-01-27T17:59:56.450237
Regulation of locomotion,Developmental Biology,Locomotion Regulation,GO_BP,0.9,2026-01-27T17:59:59.844861
Epithelial cell differentiation involved in kidney development,Developmental Biology,Kidney Organogenesis,GO_BP,0.9,2026-01-27T17:59:59.873494
Regulation of peptidyl-threonine phosphorylation,Signal Transduction,Phosphorylation Regulation,GO_BP,0.9,2026-01-27T17:59:59.898559
Regulation of cell activation,Immune System,Cell Activation Signaling,GO_BP,0.9,2026-01-27T17:59:59.919101
Gamma-delta T cell activation,Immune System,T Cell Activation,GO_BP,0.9,2026-01-27T17:59:59.939684
GTP biosynthetic process,Metabolism,Nucleotide Metabolism,GO_BP,0.9,2026-01-27T17:59:59.957459
Double-strand break repair via homologous recombination,Genetic Information Processing,DNA Repair Mechanisms,GO_BP,0.9,2026-01-27T17:59:59.978128
Aerobic electron transport chain,Metabolism,Energy Metabolism,GO_BP,0.9,2026-01-27T17:59:59.993162
Regulation of mitotic spindle assembly,Cell Cycle,Spindle Assembly Checkpoint,GO_BP,0.9,2026-01-27T18:00:04.847615
Organelle disassembly,Cellular Processes,Organelle Organization,GO_BP,0.9,2026-01-27T18:00:04.874456
Transport across blood-brain barrier,Cellular Processes,Blood-Brain Barrier Transport,GO_BP,0.9,2026-01-27T18:00:04.895826
Defense response to bacterium,Immune System,Innate Immunity,GO_BP,0.9,2026-01-27T18:00:04.917350
Regulation of cell population proliferation,Cell Cycle,G1/S Transition,GO_BP,0.9,2026-01-27T18:00:04.933293
Thymus development,Developmental Biology,Thymus Development,GO_BP,0.9,2026-01-27T18:00:04.953805
Peptidyl-glutamic acid modification,Genetic Information Processing,Post-Translational Modification,GO_BP,0.9,2026-01-27T18:00:04.974914
Amino sugar metabolic process,Metabolism,Amino Acid Metabolism,GO_BP,0.9,2026-01-27T18:00:04.994940
7-methylguanosine cap hypermethylation,Genetic Information Processing,mRNA Splicing,GO_BP,0.9,2026-01-27T18:00:08.860262
Regulation of vesicle fusion,Cellular Processes,Vesicle Transport,GO_BP,0.9,2026-01-27T18:00:08.885480
Excitatory postsynaptic potential,Signal Transduction,Calcium Signaling,GO_BP,0.9,2026-01-27T18:00:08.906433
Pituitary gland development,Developmental Biology,Pituitary Gland Development,GO_BP,0.9,2026-01-27T18:00:08.932233
Folic acid transport,Metabolism,Vitamin and Cofactor Metabolism,GO_BP,0.9,2026-01-27T18:00:08.950606
Striated muscle cell differentiation,Developmental Biology,Striated Muscle Differentiation,GO_BP,0.9,2026-01-27T18:00:08.970691
Rho protein signal transduction,Signal Transduction,Rho GTPase Signaling,GO_BP,0.9,2026-01-27T18:00:08.989145
Low-density lipoprotein particle remodeling,Metabolism,Lipoprotein Metabolism,GO_BP,0.9,2026-01-27T18:00:09.010700
Autophagy,Cellular Processes,Autophagy,GO_BP,0.9,2026-01-27T18:00:14.999618
Negative regulation of glial cell differentiation,Developmental Biology,Glial Cell Differentiation Regulation,GO_BP,0.9,2026-01-27T18:00:15.022072
Recognition of apoptotic cell,Apoptosis,Recognition of Apoptotic Cells,GO_BP,0.9,2026-01-27T18:00:15.044514
Immune response,Immune System,Immune Response Activation,GO_BP,0.9,2026-01-27T18:00:15.067007
Regulation of heart induction,Developmental Biology,Heart Induction Regulation,GO_BP,0.9,2026-01-27T18:00:15.086316
Phagocytosis,Immune System,Phagocytosis,GO_BP,0.9,2026-01-27T18:00:15.107716
Lipopolysaccharide-mediated signaling pathway,Signal Transduction,LPS Signaling Pathway,GO_BP,0.9,2026-01-27T18:00:15.127385
Negative regulation of cholesterol storage,Metabolism,Cholesterol Homeostasis Regulation,GO_BP,0.9,2026-01-27T18:00:15.149951
Histone lysine demethylation,Developmental Biology,Chromatin Modification,GO_BP,0.9,2026-01-27T18:00:19.430972
Positive regulation of cellular component biogenesis,Cellular Processes,Organelle Organization,GO_BP,0.9,2026-01-27T18:00:19.463386
Macrophage migration,Immune System,Innate Immunity,GO_BP,0.9,2026-01-27T18:00:19.481696
DNA-templated DNA replication,Genetic Information Processing,DNA Replication,GO_BP,0.9,2026-01-27T18:00:19.501708
Retinal rod cell development,Developmental Biology,Retinal Development,GO_BP,0.9,2026-01-27T18:00:19.522241
Glial cell-derived neurotrophic factor receptor signaling pathway,Signal Transduction,Neurotrophic Signaling,GO_BP,0.9,2026-01-27T18:00:19.543496
Metanephros development,Developmental Biology,Kidney Development,GO_BP,0.9,2026-01-27T18:00:19.563648
Reproductive process,Developmental Biology,Reproductive Development,GO_BP,0.9,2026-01-27T18:00:19.584654
Fever generation,Immune System,Cytokine Signaling,GO_BP,0.9,2026-01-27T18:00:23.891804
Mitochondrial RNA processing,Genetic Information Processing,RNA Editing and Processing,GO_BP,0.9,2026-01-27T18:00:23.918683
Protein localization to cilium,Cellular Processes,Organelle Organization,GO_BP,0.9,2026-01-27T18:00:23.936176
Negative regulation of immune response,Immune System,Negative Regulation of Immune Response,GO_BP,0.9,2026-01-27T18:00:23.955381
Neurotransmitter transport,Cellular Processes,Vesicle Transport,GO_BP,0.9,2026-01-27T18:00:23.976994
Circulatory system process,Circulatory System,Vascular Development,GO_BP,0.9,2026-01-27T18:00:23.999092
Photosynthesis,Metabolism,Energy Metabolism,GO_BP,0.9,2026-01-27T18:00:24.016641
Peroxisomal membrane transport,Cellular Processes,Vesicle Transport,GO_BP,0.9,2026-01-27T18:00:24.034350
Cell-cell signaling,Signal Transduction,Cell Adhesion,GO_BP,0.9,2026-01-27T18:00:28.907006
Embryonic pattern specification,Developmental Biology,Embryogenesis,GO_BP,0.9,2026-01-27T18:00:28.938355
Regulation of systemic arterial blood pressure by hormone,Environmental Information Processing,Hormonal Regulation of Blood Pressure,GO_BP,0.9,2026-01-27T18:00:28.959231
Response to methylmercury,Environmental Information Processing,Heavy Metal Detoxification,GO_BP,0.9,2026-01-27T18:00:28.980123
Detection of abiotic stimulus,Environmental Information Processing,Abiotic Stress Response,GO_BP,0.9,2026-01-27T18:00:29.001273
Cytoplasmic translational initiation,Genetic Information Processing,Translation Initiation,GO_BP,0.9,2026-01-27T18:00:29.019880
Response to fungus,Immune System,Innate Immunity,GO_BP,0.9,2026-01-27T18:00:29.038998
Localization within membrane,Cellular Processes,Membrane Organization,GO_BP,0.9,2026-01-27T18:00:29.059474
"Fructose 2,6-bisphosphate metabolic process",Metabolism,Fructose Metabolism,GO_BP,0.9,2026-01-27T18:00:33.070563
GMP biosynthetic process,Metabolism,Nucleotide Metabolism,GO_BP,0.9,2026-01-27T18:00:33.111363
Regulation of T-helper 17 type immune response,Immune System,T Cell Differentiation,GO_BP,0.9,2026-01-27T18:00:33.135327
Regulation of dendritic cell dendrite assembly,Immune System,Dendritic Cell Function,GO_BP,0.9,2026-01-27T18:00:33.157011
Positive regulation of endothelial cell apoptotic process,Apoptosis,Endothelial Cell Apoptosis Regulation,GO_BP,0.9,2026-01-27T18:00:33.180270
Rhombomere development,Developmental Biology,Rhombomere Formation,GO_BP,0.9,2026-01-27T18:00:33.202344
Regulation of T-helper cell differentiation,Immune System,T Helper Cell Differentiation,GO_BP,0.9,2026-01-27T18:00:33.222726
Peptidyl-tyrosine dephosphorylation,Cellular Processes,Protein Dephosphorylation,GO_BP,0.9,2026-01-27T18:00:33.247173
Regulation of circadian rhythm,Developmental Biology,Circadian Rhythm Regulation,GO_BP,0.9,2026-01-27T18:00:37.157352
Somatic hypermutation of immunoglobulin genes,Immune System,Somatic Hypermutation,GO_BP,0.9,2026-01-27T18:00:37.191537
Oligosaccharide-lipid intermediate biosynthetic process,Metabolism,Glycan Biosynthesis,GO_BP,0.9,2026-01-27T18:00:37.220814
Organic acid metabolic process,Metabolism,Organic Acid Metabolism,GO_BP,0.9,2026-01-27T18:00:37.248070
Semaphorin-plexin signaling pathway,Signal Transduction,Semaphorin Signaling,GO_BP,0.9,2026-01-27T18:00:37.270837
Carbohydrate derivative biosynthetic process,Metabolism,Carbohydrate Metabolism,GO_BP,0.9,2026-01-27T18:00:37.294390
Regulation of long-term synaptic potentiation,Cellular Processes,Synaptic Plasticity Regulation,GO_BP,0.9,2026-01-27T18:00:37.316730
Phagolysosome assembly,Immune System,Phagosome Maturation,GO_BP,0.9,2026-01-27T18:00:37.336446
Multicellular organismal reproductive process,Developmental Biology,Embryogenesis,GO_BP,0.9,2026-01-27T18:00:41.877183
Protein import into mitochondrial matrix,Cellular Processes,Organelle Organization,GO_BP,0.9,2026-01-27T18:00:41.906486
Negative regulation of growth,Cell Cycle,G1/S Transition,GO_BP,0.9,2026-01-27T18:00:41.926426
Virion assembly,Viral Infection Response,Disease Mechanisms,GO_BP,0.9,2026-01-27T18:00:41.945956
Proteolysis involved in protein catabolic process,Metabolism,Protein Metabolism,GO_BP,0.9,2026-01-27T18:00:41.967213
Microtubule-based process,Cellular Processes,Cytoskeletal Dynamics,GO_BP,0.9,2026-01-27T18:00:41.991938
Purine nucleoside transmembrane transport,Genetic Information Processing,Nucleotide Transport,GO_BP,0.9,2026-01-27T18:00:42.014095
Positive regulation of synaptic transmission,Signal Transduction,Calcium Signaling,GO_BP,0.9,2026-01-27T18:00:42.036163
Epithelial cell development,Developmental Biology,Embryogenesis,GO_BP,0.9,2026-01-27T18:00:45.822268
Regulation of phagocytosis,Immune System,Phagocytosis,GO_BP,0.9,2026-01-27T18:00:45.853906
Potassium ion homeostasis,Cellular Processes,Ion Homeostasis,GO_BP,0.9,2026-01-27T18:00:45.871342
Synaptic vesicle fusion to presynaptic active zone membrane,Cellular Processes,Vesicle Transport,GO_BP,0.9,2026-01-27T18:00:45.893542
Cellular oxidant detoxification,Environmental Information Processing,Oxidative Stress Response,GO_BP,0.9,2026-01-27T18:00:45.914484
Regulation of RNA stability,Genetic Information Processing,RNA Stability Regulation,GO_BP,0.9,2026-01-27T18:00:45.933829
Response to toxic substance,Environmental Information Processing,Toxic Substance Response,GO_BP,0.9,2026-01-27T18:00:45.951226
Transcription by RNA polymerase III,Genetic Information Processing,Transcription Regulation,GO_BP,0.9,2026-01-27T18:00:45.968972
Phosphatidylcholine metabolic process,Metabolism,Phospholipid Metabolism,GO_BP,0.9,2026-01-27T18:00:49.632132
Heterotypic cell-cell adhesion,Cellular Processes,Cell Adhesion,GO_BP,0.9,2026-01-27T18:00:49.658617
Cell differentiation in spinal cord,Developmental Biology,Neural Development,GO_BP,0.9,2026-01-27T18:00:49.688886
Planar cell polarity pathway involved in neural tube closure,Developmental Biology,Organogenesis,GO_BP,0.9,2026-01-27T18:00:49.714220
Glucose import in response to insulin stimulus,Signal Transduction,Insulin Signaling,GO_BP,0.9,2026-01-27T18:00:49.738540
Protein localization to postsynaptic membrane,Cellular Processes,Protein Localization,GO_BP,0.9,2026-01-27T18:00:49.756831
Monosaccharide transmembrane transport,Metabolism,Carbohydrate Transport,GO_BP,0.9,2026-01-27T18:00:49.776130
Protein deubiquitination,Cellular Processes,Protein Modification,GO_BP,0.9,2026-01-27T18:00:49.796631
Intracellular transport,Cellular Processes,Vesicle Transport,GO_BP,0.9,2026-01-27T18:00:53.705605
protein-DNA complex assembly,Genetic Information Processing,Chromatin Modification,GO_BP,0.9,2026-01-27T18:00:53.739739
Biological process involved in interspecies interaction between organisms,Environmental Information Processing,Interspecies Interaction,GO_BP,0.9,2026-01-27T18:00:53.762110
Intestinal absorption,Metabolism,Nutrient Absorption,GO_BP,0.9,2026-01-27T18:00:53.786408
Regulation of cholesterol efflux,Metabolism,Lipid Metabolism,GO_BP,0.9,2026-01-27T18:00:53.809250
Negative regulation of epinephrine secretion,Signal Transduction,Hormonal Regulation,GO_BP,0.9,2026-01-27T18:00:53.832775
Cholesterol homeostasis,Metabolism,Cholesterol Metabolism,GO_BP,0.9,2026-01-27T18:00:53.860340
Desensitization of G protein-coupled receptor signaling pathway,Signal Transduction,GPCR Desensitization,GO_BP,0.9,2026-01-27T18:00:53.881431
Protein catabolic process,Metabolism,Protein Metabolism,GO_BP,0.9,2026-01-27T18:01:00.134263
Startle response,Environmental Information Processing,Stress Response,GO_BP,0.9,2026-01-27T18:01:00.156884
Endosomal vesicle fusion,Cellular Processes,Vesicle Transport,GO_BP,0.9,2026-01-27T18:01:00.179620
Tryptophan transport,Metabolism,Amino Acid Transport,GO_BP,0.9,2026-01-27T18:01:00.205379
Long-chain fatty acid metabolic process,Metabolism,Fatty Acid Metabolism,GO_BP,0.9,2026-01-27T18:01:00.231222
Epoxide metabolic process,Metabolism,Xenobiotic Metabolism,GO_BP,0.9,2026-01-27T18:01:00.256162
Viral translational termination-reinitiation,Genetic Information Processing,Translation Regulation,GO_BP,0.9,2026-01-27T18:01:00.279731
Positive regulation of heart rate,Signal Transduction,Cardiac Regulation,GO_BP,0.9,2026-01-27T18:01:00.303228
Regulation of heart rate,Cellular Processes,Heart Rate Regulation,GO_BP,0.9,2026-01-27T18:01:04.277468
Fat-soluble vitamin catabolic process,Metabolism,Vitamin and Cofactor Metabolism,GO_BP,0.9,2026-01-27T18:01:04.311369
Amyloid-beta clearance by transcytosis,Cellular Processes,Protein Clearance Mechanisms,GO_BP,0.9,2026-01-27T18:01:04.337592
Purine-containing compound transmembrane transport,Cellular Processes,Nucleotide Transport,GO_BP,0.9,2026-01-27T18:01:04.360156
Regulation of axon regeneration,Developmental Biology,Axon Regeneration,GO_BP,0.9,2026-01-27T18:01:04.386430
Ubiquitin-dependent ERAD pathway,Cellular Processes,Protein Quality Control,GO_BP,0.9,2026-01-27T18:01:04.408460
Negative regulation of retinoic acid receptor signaling pathway,Signal Transduction,Retinoic Acid Signaling Modulation,GO_BP,0.9,2026-01-27T18:01:04.430204
Leucine biosynthetic process,Metabolism,Amino Acid Metabolism,GO_BP,0.9,2026-01-27T18:01:04.455530
Endocrine system development,Developmental Biology,Embryogenesis,GO_BP,0.9,2026-01-27T18:01:10.208796
Phosphatidylcholine biosynthetic process,Metabolism,Phospholipid Metabolism,GO_BP,0.9,2026-01-27T18:01:10.234420
Secondary metabolic process,Metabolism,Secondary Metabolite Biosynthesis,GO_BP,0.9,2026-01-27T18:01:10.258205
Galactose catabolic process via UDP-galactose,Metabolism,Carbohydrate Metabolism,GO_BP,0.9,2026-01-27T18:01:10.282950
Intrinsic apoptotic signaling pathway in response to DNA damage,Apoptosis,Intrinsic Pathway,GO_BP,0.9,2026-01-27T18:01:10.305523
Synaptic vesicle budding from endosome,Cellular Processes,Vesicle Transport,GO_BP,0.9,2026-01-27T18:01:10.327048
Amino acid transport,Cellular Processes,Amino Acid Transport,GO_BP,0.9,2026-01-27T18:01:10.351770
Regulation of protein localization,Cellular Processes,Protein Localization Regulation,GO_BP,0.9,2026-01-27T18:01:10.373523
Immune response-regulating signaling pathway,Immune System,Cytokine Signaling,GO_BP,0.9,2026-01-27T18:01:15.864994
Aromatic compound biosynthetic process,Metabolism,Aromatic Amino Acid Metabolism,GO_BP,0.9,2026-01-27T18:01:15.892386
Negative regulation of adiponectin secretion,Metabolism,Adipokine Regulation,GO_BP,0.9,2026-01-27T18:01:15.912140
Organic cyclic compound metabolic process,Metabolism,Organic Compound Metabolism,GO_BP,0.9,2026-01-27T18:01:15.932508
RNA 3-end processing,Genetic Information Processing,RNA Processing,GO_BP,0.9,2026-01-27T18:01:15.953925
Transcytosis,Cellular Processes,Vesicle Transport,GO_BP,0.9,2026-01-27T18:01:15.973876
Peripheral nervous system development,Developmental Biology,Peripheral Nervous System Development,GO_BP,0.9,2026-01-27T18:01:15.995293
Antimicrobial humoral immune response mediated by antimicrobial peptide,Immune System,Antimicrobial Peptide Response,GO_BP,0.9,2026-01-27T18:01:16.015019
