Gene,fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841_log2FC,fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841_p-value,fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841_adj-p-value,Status,Normalized_Gene,HGNC_Synonyms,Patient_LFC_mean,Cohort_LFC_mean,Patient_LFC_Trend,Cohort_LFC_Trend,Trend_Consensus,DCS,CSC,CFC,keep,novel,JL_score,CGC,Gene_Score,Disorder_Score,Disorder_Type,PPI_Degree,PPI_Avg_Score,PPI_Score,Composite_Score,Tier,Non_CGC_Composite_Score,Non_CGC_Tier,Rank,Score,Confidence,Justification
PLD6,-2.13122,0.0404918,0.380004,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,PLD6,ZUC,-2.13122,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,1.0,0.815,0.815,0.00645202557629668,Tier 3,0.00645202557629668,Tier 3,173,39.0,Low,"Disease Specificity = 20/100 (germline/piRNA nuclease, not established in lupus); Patient Signal = 80/100 with mean LFC = -2.13122, adj_P_value = NA (meets |LFC|≥2 but p-value missing); Functional = 50/100 (PPI_Degree = 1, limited immune network connectivity); Clinical = 10/100 (no SLE-targeted therapies/biomarker status); Evidence = 10/100 (little to no lupus-focused literature). Aggregate weighted score = 39/100."
CISD2,-1.36152,0.00413578,0.136481,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,CISD2,ERIS;Miner1;NAF-1;WFS2;ZCD2,-1.36152,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,2.0,0.58,1.16,0.012074974916856286,Tier 3,0.012074974916856286,Tier 3,174,39.0,Low,"Disease specificity: 20 (0-39: low — not a known core SLE gene). Patient signal: 60 (|LFC|=1.36152, adj P=NA → 50-69 bracket). Functional: 65 (PPI_Degree=2 → 50-69; mitochondrial/iron–sulfur biology with some immunometabolic relevance). Clinical: 15 (0-29: no established SLE-targeted therapies). Evidence: 30 (0-29/50-69: limited to moderate non-SLE literature), all component values stated."
CLECL1,-2.10929,0.0095249,0.202605,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,CLECL1,CLECL1P;DCAL-1;DCAL1,-2.10929,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,1.0,0.401,0.401,0.008617737443948531,Tier 3,0.008617737443948531,Tier 3,175,39.0,Low,"Disease: Low specificity for SLE (score 20); CLECL1 is not in the lupus gene list. Patient Signal: Moderate (score 75); Patient_LFC_mean = -2.10929 (adj_P_value = NA) indicating a strong magnitude change but no p-value reported, CSC = 0. Functional: Limited PPI and poorly characterized immune role (PPI_Degree = 1; functional score 50). Clinical: No translational/clinical relevance in SLE (clinical score 10). Evidence: Very limited SLE-focused publications (evidence score 30)."
BTLA,-1.0316,0.00768152,0.18546,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,BTLA,BTLA1;CD272,-1.0316,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,14.0,0.6327857142857144,8.859000000000002,0.0650054689353325,Tier 3,0.0650054689353325,Tier 3,176,39.0,Medium,"Disease: 20 (Low 0-39) — not in the provided lupus core gene list and Gene_Score/Disorder_Score = NA. Patient signal: 60 (50-69) — Patient_LFC_mean = -1.0316 (|LFC|≥1) with adjusted p = NA, CSC = 0. Functional: 75 (70-89) — immune checkpoint receptor with moderate PPI_Degree = 14 suggesting a role in immune regulation. Clinical: 10 (0-29) — no established clinical lupus target/biomarker. Evidence: 10 (0-29) — limited lupus-specific literature; overall weight yields a modest prioritized score."
ALAS2,-2.78881,0.000727967,0.0615677,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,ALAS2,ALAS-E;ALASE;ANH1;ASB;SIDBA1;XLDPP;XLEPP;XLSA,-2.78881,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,6.0,0.6531666666666667,3.919,0.03865604761701922,Tier 3,0.03865604761701922,Tier 3,177,39.0,Medium,"Disease specificity: Low (18/100) — ALAS2 is not a known lupus driver. Patient signal: Moderate (69/100) — |LFC|=2.7888, adjusted P = NA (−log10 P not available), CSC=0. Functional: Moderate (65/100) — PPI_Degree=6, enzyme in heme biosynthesis (some cellular importance). Clinical: Low (10/100) — no SLE-targeted therapies. Evidence: Low-Moderate (20/100) — limited lupus literature."
VDAC1,-1.02397,0.00129639,0.078504,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,VDAC1,PORIN;VDAC-1,-1.02397,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,10.0,0.6964,6.964,0.048262810528669646,Tier 3,0.048262810528669646,Tier 3,178,39.0,Medium,"Disease specificity: Low (15/100) — not listed among core SLE drivers above. Patient signal: Moderate (55/100) — Patient_LFC_mean=-1.02397, adj P-value=NA (|LFC|≈1). Functional: Important component/moderate PPI (75/100) — PPI_Degree=10 and VDAC1 is a mitochondrial channel involved in apoptosis/mitochondrial DNA release. Clinical: Low (10/100) — no direct SLE therapeutics; Evidence: Good (70/100) — substantial literature on VDAC1 in cell death and inflammation but limited direct SLE linkage."
BAIAP2,1.09556,0.00235156,0.102197,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,BAIAP2,BAP2;FLAF3;IRSP53;WAML,1.09556,,UP,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,2.0,0.8534999999999999,1.7069999999999999,0.011722002465698596,Tier 3,0.011722002465698596,Tier 3,179,39.0,Low,"Disease specificity: 20 (0-39) — not a known lupus driver; implicated mainly in cytoskeletal/neuronal processes (Gene_Score NA, Disorder_Score NA). Patient signal: 60 (|LFC|=1.0956; adjusted p = NA) — modest fold change (|LFC|≥1) but no p‑value. Functional: 55 (PPI_Degree=2) — limited PPI evidence and no clear immune effector role. Clinical: 20 (0-29) — no clinical relevance to SLE. Evidence: 50 — minimal to moderate literature linking to immunity."
MCM10,1.45093,0.035852,0.360665,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,MCM10,CNA43;DNA43;IMD80;PRO2249,1.45093,,UP,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,4.0,0.7479999999999999,2.9919999999999995,0.01912206149012611,Tier 3,0.01912206149012611,Tier 3,180,39.0,Low,"Disease specificity: Low (20/100) — not a known lupus driver or biomarker. Patient signal: Moderate (65/100), Patient_LFC_mean=1.45093, adjusted p-value=NA (no cohort p-value reported), CSC=0. Functional: Moderate/low (60/100), replication/initiation factor with PPI_Degree=4 indicating modest connectivity. Clinical: Low (15/100) — no current clinical targeting in SLE. Evidence: Minimal (20/100) — little literature linking MCM10 to lupus."
NEDD9,-1.67167,0.0109059,0.214432,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,NEDD9,CAS-L;CAS2;CASL;CASS2;HEF1,-1.67167,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,1.0,0.998,0.998,0.007301251071818958,Tier 3,0.007301251071818958,Tier 3,181,38.0,Medium,"Disease specificity: 25 (0-39, not a known core SLE driver). Patient signal: 60 (|LFC|=1.67167, patient_adj_P_value=NA; meets |LFC|≥1 but p unavailable). Functional: 55 (PPI_Degree=1, scaffold/adaptor with roles in cell migration, modest functional relevance). Clinical: 15 (15-29, no SLE-approved targeting; limited translational history). Evidence: 20 (20-29, some literature linking to immune cell trafficking but limited SLE-specific evidence)."
SAMM50,-1.04124,0.00385664,0.131933,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,SAMM50,CGI-51;OMP85;SAM50;TOB55;TRG-3;YNL026W,-1.04124,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,7.0,0.6927142857142857,4.849,0.033802529350257376,Tier 3,0.033802529350257376,Tier 3,182,38.0,Medium,"Disease: Low (20/0-39) — no strong lupus-specific association despite potential mitochondrial links to NETs/apoptosis. Patient signal: Moderate (52/50-69) — |LFC|=1.04124, adj P-value=NA (meets |LFC|≥1). Functional: Important (75/70-89) — mitochondrial membrane/import factor with PPI_Degree=7 suggesting moderate connectivity. Clinical: Low (10/0-29) — no current lupus-directed therapies. Evidence: Low-moderate (20/0-29) — some mitochondrial literature but limited autoimmune-specific support."
SERBP1,-1.11401,0.000324008,0.0408598,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,SERBP1,CGI-55;CHD3IP;HABP4L;Hero45;PAI-RBP1;PAIRBP1,-1.11401,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,6.0,0.6985,4.191,0.03166802252283748,Tier 3,0.03166802252283748,Tier 3,183,38.0,Medium,"Disease specificity: Low (25/100) — SERBP1 is not a known core lupus gene and has no Disease_Score in the provided context. Patient signal: Moderate (55/100) — Patient_LFC_mean = -1.11401 (|LFC|≥1), adjusted p-value = NA (no cohort p-value provided). Functional: Moderate (60/100) — PPI_Degree = 6.0 indicating some network connectivity; SERBP1 is an RNA-binding protein with plausible roles in post-transcriptional regulation. Clinical: Low (10/100) — no current clinical targeting or biomarker role in SLE. Evidence: Moderate (40/100) — limited lupus-specific literature but established gene biology outside autoimmunity."
RAB30,-1.75943,0.000472128,0.049031,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,RAB30,,-1.75943,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,,,,0.007287160905426891,Tier 3,0.007287160905426891,Tier 3,184,38.0,Low,"Disease specificity: Low (20/100) — no established lupus association and Gene_Score/Disorder_Score = NA. Patient signal: Moderate-High (75/100) based on |LFC|=1.759, Patient_adj_P_value=NA, CSC=0, DCS=-1; Functional: Some evidence (50/100), PPI_Degree=NA consistent with a small GTPase/endomembrane role; Clinical: Minimal (10/100); Evidence: Minimal (10/100). Overall this yields a low-priority score (38/100) because of limited lupus relevance, missing cohort p-value, low CSC and sparse literature, though the transcript is moderately downregulated in the patient cohort."
GPR56,-1.6095,0.0100628,0.209252,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,ADGRG1,BFPP;BPPR;CDCBM14B;CDCBM15A;GPR56;TM7LN4;TM7XN1,-1.6095,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,,,,0.0026622749416628485,Tier 3,0.0026622749416628485,Tier 3,185,38.0,Low,"Disease specificity: 20 (Low; no established lupus association). Patient signal: 60 (|LFC|=1.6095, adjusted P = NA; CSC=0, DCS=-1) showing a moderate expression change without cohort p-value support. Functional: 65 (Moderate; GPCR with some known biology though PPI_degree is NA in dataset); Clinical: 15 (Low; not an SLE therapeutic target). Evidence: 20 (Sparse lupus-focused evidence)."
ARHGEF1,1.07256,0.000591449,0.0532458,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,ARHGEF1,GEF1;IMD62;LBCL2;LSC;P115-RHOGEF;SUB1.5,1.07256,,UP,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,1.0,0.493,0.493,0.008249698360921544,Tier 3,0.008249698360921544,Tier 3,186,38.0,Low,"Disease specificity: Low (20/100) — ARHGEF1 is not a core lupus susceptibility gene. Patient signal: Moderate (60/100) — |LFC|=1.07256, adjusted p = NA. Functional: Moderate (65/100) — PPI_Degree=1; ARHGEF1 is a RhoGEF implicated in leukocyte cytoskeleton and migration (potentially relevant to immune cell behavior). Clinical: Low (10/100) — no direct therapeutic targeting in SLE. Evidence: Low (20/100) — some mechanistic data but sparse lupus-specific evidence."
RINL,-1.7418,0.00224373,0.0999697,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,RINL,,-1.7418,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,,,,0.005140229932222659,Tier 3,0.005140229932222659,Tier 3,187,38.0,Medium,"Disease specificity: Low (20/100) — RINL is not among canonical SLE genes and disease-specific scores are NA. Patient signal: Moderate (50-69) — |LFC|=1.7418, adj P=NA, CSC=0, DCS=-1 indicating a notable downregulation in patients but no cohort p-value support. Functional: Some evidence (50-69) with PPI_Degree=NA; RINL is annotated as a Rab-interacting-like protein suggesting roles in endosomal trafficking which can intersect with immune receptor trafficking. Clinical: Low (0-29) — no therapeutic or biomarker links in SLE. Evidence: Limited (0-29 to 50-69 range; assigned 30) — sparse literature connecting RINL to autoimmune disease."
CD8B,-1.18203,0.0113908,0.219786,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,CD8B,CD8B1;CD8beta;LEU2;LY3;LYT3;Ly-3;P37,-1.18203,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,6.0,0.5146666666666667,3.088,0.02872932514583902,Tier 3,0.02872932514583902,Tier 3,188,38.0,Low,"Disease: Low (20/100) — not a core lupus driver in provided disease context. Patient signal: Moderate (60/100); Patient_LFC_mean = -1.18203, adjusted P = NA (|LFC|≈1.18, p-value unavailable), CSC=0. Functional: Some evidence (55/100); PPI_Degree = 6 and functions as a T-cell co-receptor subunit. Clinical: Low (10/100) — no direct SLE-targeted therapeutics. Evidence: Moderate (60/100) — substantial immunology literature but limited SLE-specific causal data."
UFC1,-1.36929,4.00355e-05,0.0141365,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,UFC1,HSPC155;NEDSG,-1.36929,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,2.0,0.773,1.546,0.017251721927057963,Tier 3,0.017251721927057963,Tier 3,189,38.0,Medium,"Disease: Low (15/100) — Gene_Score NA, Disorder_Score NA; not a reported lupus risk gene. Patient Signal: Moderate (60/100) — |LFC|=1.36929, adj_P_value=NA, CSC=0. Functional: Moderate‑High (75/100) — UFM1 E2 conjugating enzyme with enzymatic regulatory role (PPI_Degree=2 but biochemically important). Clinical: Low (10/100) — no current SLE therapeutics; Evidence: Low (25/100) for lupus linkage but some molecular literature on UFMylation."
ARID5B,-1.10917,0.000634501,0.0557306,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,ARID5B,DESRT;MRF-2;MRF2,-1.10917,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,1.0,0.917,0.917,0.008343903690354164,Tier 3,0.008343903690354164,Tier 3,190,38.0,Low,"Disease specificity: Low (20/100) — ARID5B is primarily linked to hematopoiesis and other immune traits but not a core SLE gene. Patient signal: Moderate (60/100) — |LFC|=1.10917, adjusted p = NA. Functional: Moderate (65/100) — PPI_Degree=1; ARID5B is a transcriptional regulator with potential impact on immune cell differentiation. Clinical: Low (10/100) — no established SLE-targeted interventions. Evidence: Low (20/100) — limited direct lupus literature."
JAKMIP2,-1.08589,0.0330932,0.347202,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,JAKMIP2,JAMIP2;NECC1,-1.08589,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,,,,0.0003911523720141488,Tier 3,0.0003911523720141488,Tier 3,191,38.0,Low,"Disease specificity: 20 (0-39 — not linked specifically to lupus). Patient signal: 60 (|LFC|=1.08589, Patient_LFC_mean=-1.08589, p-value NA → meets |LFC|≥1 criterion). Functional: 60 (50-69 — putative signaling/adapter roles but not a core immune regulator; PPI_Degree=NA). Clinical: 20 (0-29 — no SLE-targeted therapeutics). Evidence: 25 (0-39 — sparse literature in autoimmunity)."
CDK11A,1.27328,0.0041486,0.136585,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,CDK11A,CDC2L2;CDC2L3;CDK11-p110;CDK11-p46;CDK11-p58;PITSLRE;p58GTA,1.27328,,UP,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,3.0,0.5,1.5,0.0163272587139023,Tier 3,0.0163272587139023,Tier 3,192,38.0,Medium,"CDK11A has a modest upregulation in the patient cohort (Patient_LFC_mean=1.27328, adj_P_value=NA) and moderate functional support as a kinase with some PPI connectivity (PPI_Degree=3), but it is not implicated in core lupus pathways. Scoring breakdown — Disease specificity: 20 (low); Patient signal: 60 (50–69, |LFC|≈1.27, p=NA); Functional: 70 (70–89, important component, PPI_Degree=3); Clinical: 10 (0–29, no clinical relevance in SLE); Evidence: 15 (0–29, minimal lupus‑specific evidence)."
EPHB1,1.46225,0.00109786,0.0743351,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,EPHB1,ELK;EPHT2;Hek6;NET,1.46225,,UP,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,3.0,0.68,2.04,0.018427303765367116,Tier 3,0.018427303765367116,Tier 3,193,38.0,Low,"Disease specificity: 20 (not a recognized lupus gene). Patient signal: 65 (|LFC|=1.46225, Patient_adj_P_value=NA, CSC=0, DCS=-1). Functional: 60 (receptor tyrosine kinase with PPI_Degree=3, some functional evidence). Clinical: 10 (no clinical relevance in SLE). Evidence: 25 (minimal direct lupus literature)."
SGIP1,-1.72597,0.0475825,0.400772,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,SGIP1,,-1.72597,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,,,,0.0011036562630913043,Tier 3,0.0011036562630913043,Tier 3,194,38.0,Low,"Disease specificity: 15 (very low; not implicated in SLE pathways). Patient signal: 75 (|LFC|=1.72597, adj_P_value=NA; LFC exceeds 1.5 threshold but p-value not reported). Functional: 50 (some evidence; PPI_Degree=NA and limited functional links to immune programs). Clinical: 20 (0-29; no clinical relevance in SLE). Evidence: 20 (minimal literature tying SGIP1 to lupus). Overall score combines these component values into 38."
SIGLEC8,1.39233,0.0237032,0.304073,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,SIGLEC8,SAF2;SIGLEC-8;SIGLEC8L,1.39233,,UP,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,2.0,0.619,1.238,0.01032627869781714,Tier 3,0.01032627869781714,Tier 3,195,38.0,Low,"Disease: Low (25) — not a recognized lupus driver (disease-specific data NA). Patient signal: Moderate (60) — |LFC|=1.392, adj_p=NA. Functional: Some evidence (50) — PPI_Degree=2; SIGLEC8 is an inhibitory receptor primarily on eosinophils/mast cells, not central to lupus B/T programs. Clinical: Low (20) — no SLE-targeted therapies. Evidence: Low (20) — limited lupus-focused literature."
PURA,2.08771,0.00040318,0.0455659,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,PURA,MRD31;NEDRIHF;PUR-ALPHA;PUR1;PURALPHA,2.08771,,UP,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,1.0,0.632,0.632,0.013728750662521223,Tier 3,0.013728750662521223,Tier 3,196,38.0,Low,"Disease Specificity: 25 (Low, 0–39); Gene_Score: NA, Disorder_Score: NA. Patient Signal: 65 (50–69) — Patient_LFC_mean = 2.08771 (large magnitude), adjusted p = NA, CSC = 0, DCS = -1. Functional: 55 (50–69) — PPI_Degree = 1 indicating limited network connections though PURA is a transcription regulator. Clinical: 10 (0–29) — no SLE-targeted therapies; Evidence: 10 (0–29) — little direct evidence for a lupus role."
TJP2,-1.30816,0.00678038,0.173181,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,TJP2,C9DUPq21.11;DFNA51;DUP9q21.11;FHCA1;PFIC4;X104;ZO2,-1.30816,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,3.0,0.593,1.779,0.0159272445269645,Tier 3,0.0159272445269645,Tier 3,197,38.0,Low,"Disease: 25 (0-39 — not a known lupus driver; Gene_Score/Disorder_Score NA). Patient signal: 60 (50-69) — |LFC|=1.308, adj_P_value=NA, CSC=0. Functional: 60 (50-69) — PPI_Degree=3 indicating some protein interactions. Clinical: 10 (0-29 — no known clinical/therapeutic relevance in SLE). Evidence: 10 (0-29 — minimal lupus literature). Overall weighted sub-scores used: Disease=25, Patient=60, Functional=60, Clinical=10, Evidence=10."
CRTAM,-1.67407,0.000822716,0.0649164,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,CRTAM,CD355,-1.67407,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,3.0,0.44366666666666665,1.331,0.019717019702044647,Tier 3,0.019717019702044647,Tier 3,198,38.0,Medium,"Disease specificity: 20 (low 0-39) — no strong lupus association. Patient signal: 60 (50-69) — Patient_LFC_mean = -1.67407, adj_P_value = NA so LFC suggests moderate cohort signal but p-value unavailable. Functional: 70 (70-89) — PPI_Degree = 3 and CRTAM is an immune cell adhesion receptor expressed on cytotoxic T/NK cells, supporting a plausible immunomodulatory role. Clinical: 10 (0-29) — no SLE-targeted drugs/biomarker status. Evidence: 10 (0-29) — minimal published lupus-specific evidence."
PAR1,1.66974,0.0153328,0.249824,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,F2R,CF2R;HTR;PAR-1;PAR1;TR,1.66974,,UP,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,,,,0.0023276724546565665,Tier 3,0.0023276724546565665,Tier 3,199,38.0,Low,"Disease specificity: 20 (0-39, no lupus-specific annotation). Patient signal: 60 (50-69); Patient_LFC_mean = 1.66974, adj_P = NA, CSC=0. Functional: 60 (50-69); likely a signaling receptor (PPI_Degree = NA) with potential inflammatory roles but not established in SLE. Clinical: 20 (0-29, not a lupus therapeutic target). Evidence: 20 (0-29, limited direct SLE literature)."
ATG16L2,1.54414,4.417e-07,0.000445612,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,ATG16L2,ATG16B;WDR80,1.54414,,UP,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,,,,0.01825284426069651,Tier 3,0.01825284426069651,Tier 3,200,38.0,Medium,"Disease specificity: Low (30/100). Patient signal: Moderate (60/100) — |LFC|=1.54414, adjusted P=NA (cohort p-value not provided). Functional: Moderate (50/100), PPI_Degree=NA; gene is autophagy-related which can intersect immune homeostasis. Clinical: Low (10/100). Evidence: Limited (15/100)."
LAMTOR4,1.14704,4.76291e-05,0.0143131,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,LAMTOR4,C7orf59,1.14704,,UP,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,,,,0.006566757669112398,Tier 3,0.006566757669112398,Tier 3,201,38.0,Low,"Disease specificity: 25 (0-39) — not part of canonical SLE susceptibility genes. Patient Signal: 55 (50-69) — Patient_LFC_mean = 1.14704, adj P = NA; meets |LFC|≥1 criterion. Functional: 65 (50-69) — LAMTOR4 is part of the Ragulator complex (mTOR-related signaling), PPI_Degree = NA but biologically plausible in immune cell metabolism. Clinical: 10 (0-29) — no current clinical targeting in SLE. Evidence: 20 (0-29) — modest mechanistic literature outside SLE; overall suggests a possible mechanistic link to immune metabolism worth experimental validation but low clinical priority."
BCL7C,-1.17644,0.00494782,0.15061,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,BCL7C,SMARCJ3,-1.17644,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,1.0,0.991,0.991,0.0067257109111144645,Tier 3,0.0067257109111144645,Tier 3,202,38.0,Low,"Disease specificity: 20 (0-39) — few links to lupus; BCL7C is poorly characterized in autoimmunity (Gene_Score NA, Disorder_Score NA). Patient signal: 60 (|LFC|=1.17644; adjusted p = NA) — modest fold change with missing p‑value. Functional: 50 (PPI_Degree=1) — low interaction degree, uncertain immune role. Clinical: 20 (0-29) — no clinical targeting. Evidence: 50 — limited literature mostly outside SLE."
PRDX2,-1.15541,0.00456846,0.143389,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,PRDX2,HEL-S-2a;NKEF-B;NKEFB;PRP;PRX2;PRXII;PTX1;TDPX1;TPX1;TSA,-1.15541,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,2.0,0.47150000000000003,0.9430000000000001,0.01129929876138253,Tier 3,0.01129929876138253,Tier 3,203,38.0,Low,"Disease Specificity: 20 (0-39) — antioxidant enzyme, not a recognized SLE driver. Patient Signal: 60 (50-69) — |LFC|=1.15541, adj-P=NA, CSC=0, DCS=-1. Functional: 60 (50-69) — PPI_Degree=2, enzymatic ROS detoxifier with some immune/oxidative stress connections. Clinical: 10 (0-29) — no targeted therapies in SLE. Evidence: 50 (50-69) — limited/moderate literature on oxidative stress in SLE but no direct biomarker/target status."
